,T. sp. A48,T. SL0000003
GT20,3.0,2.0
GH1,7.0,4.0
GH5,18.0,14.0
GH20,2.0,2.0
CE16,4.0,2.0
GT31,9.0,7.0
GT2_Glycos_transf,5.0,4.0
GH30,5.0,2.0
GT96,3.0,1.0
GT71,7.0,6.0
GT61,6.0,4.0
GT1,2.0,4.0
GT95,3.0,2.0
GT32,6.0,3.0
GH31,2.0,2.0
GH32,4.0,3.0
GH2,1.0,1.0
GT35,2.0,2.0
GT4,12.0,7.0
GT30,1.0,0.0
GT57,2.0,1.0
GH13,11.0,9.0
GH27,2.0,2.0
GT22,4.0,2.0
GT5,4.0,4.0
CBM50,4.0,0.0
GT92,1.0,0.0
GT77,4.0,3.0
CBM45,2.0,1.0
CE1,2.0,2.0
GH14,3.0,2.0
CE2,2.0,1.0
GH8,5.0,1.0
GT66,1.0,1.0
GT2_Glyco_tranf_2,7.0,6.0
GT23,2.0,0.0
GT17,1.0,0.0
GT15,2.0,1.0
GT90,10.0,6.0
GT33,2.0,0.0
GT47,1.0,0.0
GH135,3.0,3.0
GH43,3.0,2.0
GH47,7.0,3.0
CE14,1.0,0.0
GT75,1.0,1.0
GH128,4.0,3.0
GT2_Glyco_trans_2,2.0,3.0
GH9,6.0,5.0
CE17,3.0,3.0
GT60,2.0,1.0
GH51,1.0,1.0
CE4,2.0,3.0
GH3,1.0,1.0
CBM20,3.0,2.0
GT24,1.0,1.0
CBM1,1.0,0.0
GT105,2.0,1.0
AA3,1.0,1.0
GT13,4.0,2.0
AA4,1.0,1.0
GT58,1.0,0.0
AA2,4.0,5.0
GT69,4.0,1.0
GT14,1.0,1.0
GH19,1.0,1.0
GT8,1.0,1.0
AA6,2.0,2.0
GT7,1.0,1.0
GH18,2.0,1.0
GT28,1.0,1.0
GH38,1.0,1.0
GH85,1.0,1.0
GT62,1.0,0.0
GH109,1.0,1.0
GT49,3.0,2.0
CBM53,1.0,1.0
GT59,1.0,0.0
GH77,1.0,1.0
GT64,1.0,1.0
AA5,2.0,1.0
GH117,1.0,1.0
GT50,2.0,1.0
GH63,2.0,0.0
GH46,1.0,1.0
PL29,1.0,1.0
GT21,1.0,1.0
GH35,1.0,1.0
GT34,1.0,1.0
GH37,2.0,1.0
AA7,0.0,3.0
GT114,0.0,1.0
CBM47,0.0,1.0
