,InterPro,Description,T. sp. A48,T. SL0000003
0,IPR000967,NF-X1-type zinc finger,1.0,1.0
1,IPR006856,Mating-type protein MAT alpha-1 HMG-Box,0.0,0.0
2,IPR018501,DDT domain,5.0,5.0
3,IPR007196,CCR4-Not complex component,1.0,1.0
4,IPR007396,Putative FMN-binding domain,0.0,0.0
5,IPR004595,TFIIH C1-like domain,2.0,0.0
6,IPR004181,MIZ zinc finger,2.0,1.0
7,IPR000818,TEA/ATTS domain family,0.0,0.0
8,IPR001387,Helix-turn-helix,1.0,1.0
9,IPR001289,CCAAT-binding TF (CBF-B/NF-YA) subunit B,1.0,1.0
10,IPR003120,STE-like TF,0.0,0.0
11,IPR003150,RFX DNA-binding domain,0.0,0.0
12,IPR004198,Zinc finger,3.0,2.0
13,IPR007604,CP2 TF,0.0,0.0
14,IPR008895,YL1 nuclear protein,1.0,1.0
15,IPR010770,SGT1 protein,2.0,1.0
16,IPR018004,KilA-N domain,0.0,3.0
17,IPR024061,NDT80/PhoG-like DNA-binding family,0.0,0.0
18,IPR003656,BED zinc finger,1.0,1.0
19,IPR018060,Bacterial regulatory HTH proteins,0.0,0.0
20,IPR005011,SART-1 family,2.0,1.0
21,IPR002100,SRF-type TF (DNA-binding and dimerization domain),3.0,2.0
22,IPR010666,GRF zinc finger,5.0,2.0
23,IPR000232,HSF-type DNA-binding,2.0,1.0
24,IPR001766,Fork head domain,0.0,0.0
25,IPR001356,Homeobox domain,3.0,4.0
26,IPR000679,GATA zinc finger,15.0,7.0
27,IPR013767,PAS fold,1.0,1.0
28,IPR001878,Zinc knuckle (CCHC),19.0,19.0
29,IPR004827,Basic region leucine zipper 2,40.0,28.0
30,IPR007889,Helix-turn-helix,0.0,0.0
31,IPR011598,Helix-loop-helix DNA-binding domain,5.0,3.0
32,IPR001005,Myb-like DNA-binding domain,39.0,23.0
33,IPR004827,bZIP TF 1,40.0,28.0
34,IPR007087,Zinc finger (C2H2),0.0,0.0
35,IPR001138,Fungal Zn(2)-Cys(6) binuclear cluster domain,0.0,0.0
36,IPR007219,Fungal-specific TF domain,0.0,0.0
